Month,Hour,every_hour,month_hour,Konocti_Load
1,0,1,0,7.77
1,1,2,0.041666667,7.62
1,2,3,0.083333333,7.68
1,3,4,0.125,7.77
1,4,5,0.166666667,8.16
1,5,6,0.208333333,9.35
1,6,7,0.25,11.05
1,7,8,0.291666667,11.93
1,8,9,0.333333333,11.46
1,9,10,0.375,10.73
1,10,11,0.416666667,9.86
1,11,12,0.458333333,9.15
1,12,13,0.5,8.86
1,13,14,0.541666667,8.63
1,14,15,0.583333333,8.44
1,15,16,0.625,8.57
1,16,17,0.666666667,9.39
1,17,18,0.708333333,10.57
1,18,19,0.75,11.28
1,19,20,0.791666667,11.22
1,20,21,0.833333333,10.9
1,21,22,0.875,10.22
1,22,23,0.916666667,9.23
1,23,24,0.958333333,8.29
2,0,25,1,7.28
2,1,26,1.041666667,7.04
2,2,27,1.083333333,7.02
2,3,28,1.125,7.15
2,4,29,1.166666667,7.46
2,5,30,1.208333333,8.68
2,6,31,1.25,10.28
2,7,32,1.291666667,11.05
2,8,33,1.333333333,10.11
2,9,34,1.375,9.58
2,10,35,1.416666667,8.93
2,11,36,1.458333333,8.64
2,12,37,1.5,8.23
2,13,38,1.541666667,7.66
2,14,39,1.583333333,7.68
2,15,40,1.625,7.8
2,16,41,1.666666667,8.41
2,17,42,1.708333333,9.56
2,18,43,1.75,10.61
2,19,44,1.791666667,10.67
2,20,45,1.833333333,10.55
2,21,46,1.875,9.74
2,22,47,1.916666667,8.63
2,23,48,1.958333333,7.73
3,0,49,2,6.51
3,1,50,2.041666667,6.39
3,2,51,2.083333333,6.33
3,3,52,2.125,6.42
3,4,53,2.166666667,6.81
3,5,54,2.208333333,7.79
3,6,55,2.25,9.43
3,7,56,2.291666667,10.28
3,8,57,2.333333333,9.57
3,9,58,2.375,8.95
3,10,59,2.416666667,8.37
3,11,60,2.458333333,7.86
3,12,61,2.5,7.44
3,13,62,2.541666667,7.07
3,14,63,2.583333333,6.86
3,15,64,2.625,7.03
3,16,65,2.666666667,7.46
3,17,66,2.708333333,8.32
3,18,67,2.75,9.47
3,19,68,2.791666667,9.76
3,20,69,2.833333333,9.43
3,21,70,2.875,8.81
3,22,71,2.916666667,7.7
3,23,72,2.958333333,6.9
4,0,73,3,6.11
4,1,74,3.041666667,5.99
4,2,75,3.083333333,5.96
4,3,76,3.125,5.91
4,4,77,3.166666667,6.28
4,5,78,3.208333333,7.35
4,6,79,3.25,8.95
4,7,80,3.291666667,9.67
4,8,81,3.333333333,8.76
4,9,82,3.375,8.09
4,10,83,3.416666667,7.47
4,11,84,3.458333333,6.91
4,12,85,3.5,6.53
4,13,86,3.541666667,6.15
4,14,87,3.583333333,6.18
4,15,88,3.625,6.18
4,16,89,3.666666667,6.53
4,17,90,3.708333333,7.25
4,18,91,3.75,8.12
4,19,92,3.791666667,8.55
4,20,93,3.833333333,8.96
4,21,94,3.875,8.42
4,22,95,3.916666667,7.55
4,23,96,3.958333333,6.56
5,0,97,4,5.22
5,1,98,4.041666667,4.89
5,2,99,4.083333333,4.77
5,3,100,4.125,4.75
5,4,101,4.166666667,5.01
5,5,102,4.208333333,5.91
5,6,103,4.25,7.03
5,7,104,4.291666667,7.36
5,8,105,4.333333333,6.78
5,9,106,4.375,6.46
5,10,107,4.416666667,6.43
5,11,108,4.458333333,6.44
5,12,109,4.5,6.5
5,13,110,4.541666667,6.69
5,14,111,4.583333333,7.02
5,15,112,4.625,7.55
5,16,113,4.666666667,8.04
5,17,114,4.708333333,8.7
5,18,115,4.75,9
5,19,116,4.791666667,8.92
5,20,117,4.833333333,8.65
5,21,118,4.875,8.06
5,22,119,4.916666667,6.86
5,23,120,4.958333333,5.81
6,0,121,5,6.74
6,1,122,5.041666667,6.19
6,2,123,5.083333333,6.04
6,3,124,5.125,5.97
6,4,125,5.166666667,5.93
6,5,126,5.208333333,6.51
6,6,127,5.25,7.41
6,7,128,5.291666667,8.06
6,8,129,5.333333333,8.3
6,9,130,5.375,8.55
6,10,131,5.416666667,8.96
6,11,132,5.458333333,9.73
6,12,133,5.5,10.47
6,13,134,5.541666667,11.15
6,14,135,5.583333333,12.03
6,15,136,5.625,12.53
6,16,137,5.666666667,12.96
6,17,138,5.708333333,13.33
6,18,139,5.75,13.46
6,19,140,5.791666667,13.1
6,20,141,5.833333333,11.65
6,21,142,5.875,10.55
6,22,143,5.916666667,9.2
6,23,144,5.958333333,7.89
7,0,145,6,7.75
7,1,146,6.041666667,6.96
7,2,147,6.083333333,6.92
7,3,148,6.125,6.76
7,4,149,6.166666667,6.49
7,5,150,6.208333333,7.1
7,6,151,6.25,7.82
7,7,152,6.291666667,8.29
7,8,153,6.333333333,8.47
7,9,154,6.375,9
7,10,155,6.416666667,9.33
7,11,156,6.458333333,10.12
7,12,157,6.5,10.91
7,13,158,6.541666667,11.77
7,14,159,6.583333333,12.76
7,15,160,6.625,13.28
7,16,161,6.666666667,13.89
7,17,162,6.708333333,14.39
7,18,163,6.75,14.3
7,19,164,6.791666667,13.52
