Month,Hour,every_hour,month_hour,Konocti_Load
7,20,165,6.833333333,12.57
7,21,166,6.875,11.78
7,22,167,6.916666667,10.38
7,23,168,6.958333333,9.07
8,0,169,7,7.6
8,1,170,7.041666667,6.99
8,2,171,7.083333333,6.71
8,3,172,7.125,6.41
8,4,173,7.166666667,6.43
8,5,174,7.208333333,7.17
8,6,175,7.25,7.92
8,7,176,7.291666667,8.26
8,8,177,7.333333333,8.76
8,9,178,7.375,9.05
8,10,179,7.416666667,9.66
8,11,180,7.458333333,10.19
8,12,181,7.5,10.73
8,13,182,7.541666667,12.04
8,14,183,7.583333333,12.8
8,15,184,7.625,13.04
8,16,185,7.666666667,13.33
8,17,186,7.708333333,13.77
8,18,187,7.75,14.25
8,19,188,7.791666667,13.51
8,20,189,7.833333333,12.74
8,21,190,7.875,11.41
8,22,191,7.916666667,10.05
8,23,192,7.958333333,8.62
9,0,193,8,6.54
9,1,194,8.041666667,6.1
9,2,195,8.083333333,5.92
9,3,196,8.125,5.92
9,4,197,8.166666667,5.86
9,5,198,8.208333333,6.45
9,6,199,8.25,7.34
9,7,200,8.291666667,7.63
9,8,201,8.333333333,7.57
9,9,202,8.375,7.71
9,10,203,8.416666667,7.73
9,11,204,8.458333333,7.73
9,12,205,8.5,7.96
9,13,206,8.541666667,8.9
9,14,207,8.583333333,9.5
9,15,208,8.625,10.82
9,16,209,8.666666667,11.11
9,17,210,8.708333333,11.28
9,18,211,8.75,11.57
9,19,212,8.791666667,11.05
9,20,213,8.833333333,10.44
9,21,214,8.875,9.46
9,22,215,8.916666667,8.27
9,23,216,8.958333333,7.4
10,0,217,9,5.13
10,1,218,9.041666667,4.91
10,2,219,9.083333333,5.08
10,3,220,9.125,5.27
10,4,221,9.166666667,5.6
10,5,222,9.208333333,6.66
10,6,223,9.25,7.96
10,7,224,9.291666667,8.57
10,8,225,9.333333333,8.26
10,9,226,9.375,7.59
10,10,227,9.416666667,7.18
10,11,228,9.458333333,6.72
10,12,229,9.5,6.23
10,13,230,9.541666667,5.92
10,14,231,9.583333333,5.95
10,15,232,9.625,5.94
10,16,233,9.666666667,6.5
10,17,234,9.708333333,7.21
10,18,235,9.75,7.92
10,19,236,9.791666667,8.12
10,20,237,9.833333333,8.05
10,21,238,9.875,7.42
10,22,239,9.916666667,6.39
10,23,240,9.958333333,5.59
11,0,241,10,6.78
11,1,242,10.04166667,6.47
11,2,243,10.08333333,6.58
11,3,244,10.125,6.62
11,4,245,10.16666667,6.96
11,5,246,10.20833333,7.94
11,6,247,10.25,9.49
11,7,248,10.29166667,10.2
11,8,249,10.33333333,9.48
11,9,250,10.375,9.18
11,10,251,10.41666667,8.44
11,11,252,10.45833333,7.83
11,12,253,10.5,7.49
11,13,254,10.54166667,7.14
11,14,255,10.58333333,7.03
11,15,256,10.625,7.25
11,16,257,10.66666667,8.16
11,17,258,10.70833333,9.63
11,18,259,10.75,10.19
11,19,260,10.79166667,10.21
11,20,261,10.83333333,9.89
11,21,262,10.875,9.29
11,22,263,10.91666667,8.09
11,23,264,10.95833333,7.28
12,0,265,11,7.74
12,1,266,11.04166667,7.5
12,2,267,11.08333333,7.55
12,3,268,11.125,7.51
12,4,269,11.16666667,7.94
12,5,270,11.20833333,8.9
12,6,271,11.25,10.33
12,7,272,11.29166667,11.1
12,8,273,11.33333333,10.7
12,9,274,11.375,10.24
12,10,275,11.41666667,9.69
12,11,276,11.45833333,9.29
12,12,277,11.5,8.74
12,13,278,11.54166667,8.4
12,14,279,11.58333333,8.21
12,15,280,11.625,8.61
12,16,281,11.66666667,9.54
12,17,282,11.70833333,10.99
12,18,283,11.75,11.32
12,19,284,11.79166667,11.26
12,20,285,11.83333333,10.91
12,21,286,11.875,10.19
12,22,287,11.91666667,9.15
12,23,288,11.95833333,8.24
